"","council","reference","date_received","date_validated","address","description","applicant","agent","status","decision","decision_date","category","search_term","url","decision_clean","address_clean","postcode","pc_lat","pc_lon","g_lat","g_lon","g_status","lat","lon","geometry"
"32","Cherwell","08/01900/F",NA,NA,"East House
Aynho Road
Adderbury
Oxfordshire","change of use from old peoples care home, 2 no. dwellings for old people and 4 no. sheltered house, to a single dwelling with ancillary accommodation (as amplified by letter dated 29/10/08 and accompanying convenant received 03/11/08)","Mr Bob Lari","Acanthus Clews Architects","application permitted","delegated","01/12/2008","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/08/01900/F","approved","East House Aynho Road Adderbury Oxfordshire",NA,NA,NA,52.01766,-1.3019702,"ok",52.01766,-1.3019702,c(-1.3019702, 52.01766)
"33","Cherwell","08/01230/F",NA,NA,"Orchard House
Church Lane
Wendlebury
Oxfordshire
OX25 2PN","change of use from single family dwelling (c3) to a residential care home (c2)","The Aesculap Community","Michael Fowler Architects","application permitted","delegated","17/07/2008","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/08/01230/F","approved","Orchard House Church Lane Wendlebury Oxfordshire OX25 2PN","OX25 2PN",51.873021,-1.187819,NA,NA,NA,51.873021,-1.187819,c(-1.187819, 51.873021)
"34","Cherwell","06/02097/F",NA,NA,"Town Centre House
Southam Road
Banbury
Oxfordshire
OX16 2EN","change of use and extension of existing office building into care home accommodation (as amended by plans received on 09.01.07)","Caverwood Ltd","Mr Peter Harris","application permitted","delegated","10/01/2007","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/06/02097/F","approved","Town Centre House Southam Road Banbury Oxfordshire OX16 2EN","OX16 2EN",NA,NA,52.0675103,-1.3396207,"ok",52.0675103,-1.3396207,c(-1.3396207, 52.0675103)
"35","Cherwell","05/01880/F",NA,NA,"7-15 Warwick Road
Banbury
Oxon
OX16 2AB","erection of 23-bed care home (3 units which are comprised of respite care) to the rear and 12 no. flats to warwick road frontage.  alteration of access to highway and new 1.2m high retaining wall (as amended by plans accompanying agent's letter received in the department on 14 december 2005)","Ms Helen Dallas","Mr David Grundy","application permitted","committee","09/02/2006","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/05/01880/F","approved","7-15 Warwick Road Banbury Oxon OX16 2AB","OX16 2AB",52.063336,-1.342032,NA,NA,NA,52.063336,-1.342032,c(-1.342032, 52.063336)
"36","Cherwell","05/01543/F",NA,NA,"Former Highway Depot And Claypits
London Road
Bicester
Oxon","two storey 60 no. place care home and 20 no. extra care apartments and land remediation work to site and land adjoining (as amended by plans received 21.11.05).","The Oxfordshire Care Partnership","Lang Daniels Paterson Ltd","application withdrawn","committee","02/12/2005","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/05/01543/F","withdrawn","Former Highway Depot And Claypits London Road Bicester Oxon",NA,NA,NA,51.8913444,-1.1476787,"ok",51.8913444,-1.1476787,c(-1.1476787, 51.8913444)
"37","Cherwell","05/01474/F",NA,NA,"Godswell House 
Church Street
Bloxham
Banbury
Oxon
OX15 4ES","change of use from offices to a 28 no. bed residential care home including extension and associated access, parking and landscaping (as amended by plans accompanying agent's letters received in the department on 8 september 2005 and 8 november 2005)","Godswell Park Ltd","Acanthus Clews Architects","application permitted","committee","09/12/2005","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/05/01474/F","approved","Godswell House Church Street Bloxham Banbury Oxon OX15 4ES","OX15 4ES",52.018118,-1.372962,NA,NA,NA,52.018118,-1.372962,c(-1.372962, 52.018118)
"38","Cherwell","01/02458/F",NA,NA,"Ley Community Centre 
26 Sandy Lane
Yarnton
Kidlington
Oxon
OX5 1PB","erection of upper storey to single storey residential care home","Ley Community Drug Services","Gray Baynes And Shew","application permitted","committee","15/02/2002","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/01/02458/F","approved","Ley Community Centre 26 Sandy Lane Yarnton Kidlington Oxon OX5 1PB","OX5 1PB",51.814391,-1.310743,NA,NA,NA,51.814391,-1.310743,c(-1.310743, 51.814391)
"39","Cherwell","00/00634/F",NA,NA,"Featherton House 
Chapel Square
Deddington
Banbury
Oxon
OX15 0SG","two storey extension to existing residential care home involving the demolition of part of the garden wall.  insertion of new window at ground floor of existing building, as amended by plans received 25.5.00 and 8.6.00","Featherton House","Peter McCorkell Associates","application permitted","delegated","12/07/2000","care home","care home","https://planningregister.cherwell.gov.uk/Planning/Display/00/00634/F","approved","Featherton House Chapel Square Deddington Banbury Oxon OX15 0SG","OX15 0SG",51.980789,-1.31958,NA,NA,NA,51.980789,-1.31958,c(-1.31958, 51.980789)
"40","Cherwell","21/00972/F",NA,NA,"Heathfield House Nursing Home
Heathfield
OX5 3DX","erection of staff accommodation building (alternative scheme to that refused permission under application 20/00861/f)","Mr Rajesh Gupta","Mr Simon Sharp","application permitted","delegated","11/06/2021","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/21/00972/F","approved","Heathfield House Nursing Home Heathfield OX5 3DX","OX5 3DX",51.847422,-1.242966,NA,NA,NA,51.847422,-1.242966,c(-1.242966, 51.847422)
"41","Cherwell","20/00861/F",NA,NA,"Heathfield House Nursing Home
Heathfield
OX5 3DX","erection of staff accommodation building","R.  Gupta","Mr Guy Roberts","application refused","delegated","06/07/2020","care home","nursing home","https://planningregister.cherwell.gov.uk/Planning/Display/20/00861/F","refused","Heathfield House Nursing Home Heathfield OX5 3DX","OX5 3DX",51.847422,-1.242966,NA,NA,NA,51.847422,-1.242966,c(-1.242966, 51.847422)
